Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,Nissan of San Marcos,,1,,30.4963137,-97.6809454
ELEC,Nissan of Silsbee,,1,,30.314894,-94.18396
ELEC,Sterling McCall Nissan,,1,1,29.645808,-95.57612
ELEC,Garlyn Shelton Nissan,,1,1,31.079653,-97.410328
ELEC,Peltier Nissan,,1,,32.31165413,-95.34249986
ELEC,Victory Nissan,,1,,28.851423,-96.997881
ELEC,Douglas Nissan,,1,,31.495348,-97.160226
ELEC,Southwest Nissan,,1,,32.7561,-97.705239
ELEC,Nissan of Wichita Falls,,1,,33.88049,-98.545953
ELEC,Passport Nissan - Alexandria,,3,1,38.809675,-77.122192
ELEC,Priority Nissan - Chantilly,,2,1,38.899751,-77.460168
ELEC,Colonial Nissan,,2,1,38.086121,-78.474663
ELEC,Brown's Fairfax Nissan,,1,1,38.85358,-77.324803
ELEC,Pomoco Nissan - Hampton,,2,1,37.042363,-76.388316
ELEC,Sheehy Nissan - Manassas,,2,1,38.760854,-77.459274
ELEC,SCIENCE MUSEUM SCIENCE MUSEUM1,,2,,37.561646,-77.465974
ELEC,First Team Nissan,,1,1,37.345779,-79.962578
ELEC,Brown's Dulles Nissan,,1,1,39.010459,-77.438399
ELEC,Priority Nissan,,2,1,38.927033,-77.240836
ELEC,Tri-State Nissan,,3,1,39.156514,-78.147297
ELEC,Rairdon's Nissan - Auburn,,1,,47.338754,-122.221114
ELEC,Bellingham Nissan,,2,1,48.755607,-122.454132
ELEC,Advantage Nissan,,1,,47.562162,-122.684286
ELEC,Burien Nissan,,2,1,47.458466,-122.333257
ELEC,Campbell-Nelson Nissan,,2,,47.778229,-122.344838
ELEC,Campbell Nissan - Everett,,2,2,47.90272982,-122.2469884
ELEC,Olympia Nissan,,1,1,47.031067,-122.930247
ELEC,Bill Robertson Nissan,,1,,46.236607,-119.128998
ELEC,Dan Wilder Nissan,,2,1,48.102863,-123.342273
ELEC,Bill Korum's Puyallup Nissan,,1,1,47.207367,-122.294997
ELEC,Younker Nissan,,1,1,47.448354,-122.2188
ELEC,Wendle Nissan,,1,,47.739021,-117.409937
ELEC,Dave Smith Nissan - Spokane,,2,1,47.657264,-117.312518
ELEC,Tacoma Nissan,,1,1,47.21978,-122.48576
ELEC,Alan Webb Nissan,,1,1,45.648094,-122.597954
ELEC,O'Brien Nissan,,1,,46.047464,-118.353406
ELEC,Mountain View Nissan,,1,1,35.030251,-85.308376
ELEC,Harold Mathews Nissan,,1,1,36.513006,-87.268667
ELEC,Cookeville Nissan,,1,,36.137109,-85.496453
ELEC,Victory Nissan West,,1,,36.023934,-87.340223
ELEC,Rick Hill Nissan,,1,,36.063277,-89.379485
ELEC,Nissan of Cool Springs,,1,1,35.957857,-86.80853
ELEC,Newton Nissan of Gallatin,,1,1,36.361376,-86.494932
ELEC,Tri-Cities Nissan,,1,,36.374198,-82.372119
ELEC,Wallace Nissan Oldsmobile,,3,,36.551978,-82.487762
ELEC,Ted Russell Nissan,,1,,35.920587,-84.067881
ELEC,Rusty Wallace Nissan,,1,,35.999617,-83.969451
ELEC,Nissan of Rivergate,,1,1,36.29062,-86.7051
ELEC,Roberts Nissan,,1,,35.454702,-86.041805
ELEC,Weakley County Motors,,1,,36.369277,-88.849653
ELEC,AutoNation Nissan - Memphis,,1,,35.0353,-89.795859
ELEC,Jim Keras Nissan,,1,1,35.181031,-89.895533
ELEC,East Tennessee Nissan,,1,,36.18226,-83.382387
ELEC,Nissan of Murfreesboro,,1,2,35.854156,-86.394979
ELEC,Action Nissan,,2,1,36.110606,-86.743585
ELEC,Downtown Nashville Nissan,,2,1,36.191053,-86.793132
ELEC,Carr Nissan,,1,,45.491783,-122.81107
ELEC,Lithia Nissan of Bend,,2,1,44.055213,-121.277279
ELEC,Kiefer Nissan,,1,,44.572608,-123.258425
ELEC,Lithia Nissan of Eugene,,1,,44.05902085,-123.0813975
ELEC,Dick Hannah Nissan,,1,,45.378967,-122.603899
ELEC,Chuck Colvin Nissan,,1,,45.227394,-123.180863
ELEC,Lithia Nissan,,1,,42.379969,-122.858192
ELEC,Rustom Nissan - Portland,,1,,45.531759,-122.537403
ELEC,Nissan of Salem,,1,1,44.921582,-123.006236
ELEC,Ray Schultens Nissan,,2,1,45.613979,-121.20996
ELEC,Tonkin Nissan,,2,,45.326814,-122.770853
ELEC,Dick Smith Nissan,,2,1,34.055164,-81.128164
ELEC,Dick Smith Nissan,,1,1,33.997902,-81.222504
ELEC,Twin City Nissan,,2,,35.830725,-83.974822
ELEC,Wolfchase Nissan,,2,1,35.205818,-89.791337
ELEC,Dutch Miller Nissan,,1,,36.54282,-82.2354
ELEC,Nissan of Chattanooga East,,1,,35.056433,-85.190515
ELEC,Benton Nissan - Hoover,,1,1,33.394903,-86.807186
ELEC,Matt Bowers Nissan Eastern Shore,,1,,30.660697,-87.858464
ELEC,Lynn Layton Nissan,,1,1,34.563857,-86.972193
ELEC,Jack Ingram Motors,,1,1,32.376832,-86.208559
ELEC,Avondale Nissan,,1,,33.459826,-112.284168
ELEC,AutoNation Nissan - Chandler,,2,1,33.286316,-111.791107
ELEC,Anderson Nissan,,1,,34.54217,-114.35287
ELEC,East Valley Nissan,,1,,33.385361,-111.695062
ELEC,Larry H Miller Nissan - Mesa,,2,1,33.434313,-111.872266
ELEC,Peoria Nissan,,1,,33.636921,-112.253682
ELEC,ABC Nissan,,1,1,33.509862,-112.054162
ELEC,Coulter Nissan,,1,,33.605183,-112.420442
ELEC,Midway Nissan,,2,2,33.639038,-112.108088
ELEC,Pinnacle Nissan,,3,1,33.635224,-111.915739
ELEC,AutoNation Nissan - Tempe,,1,1,33.346812,-111.967793
ELEC,Jim Click Nissan,,2,1,32.289823,-110.985646
ELEC,Thoroughbred Nissan,,1,,32.207374,-110.881798
ELEC,Antioch Nissan,,1,1,38.007799,-121.832042
ELEC,Nissan of Bakersfield,,3,1,35.310723,-119.035324
ELEC,Buena Park Nissan,,3,1,33.865497,-117.995215
ELEC,Carson Nissan,,2,1,33.824968,-118.245675
